my-workspace-perfectshuffle
solution_idx: 6 | avg: 1188.9212808539025 | fitness: 0.0008410985791101189
solution_idx: 7 | avg: 1188.393595730487 | fitness: 0.0008414720540338452
solution_idx: 1 | avg: 1188.7745163442296 | fitness: 0.0008412024200142201
solution_idx: 2 | avg: 1188.342895263509 | fitness: 0.0008415079553096963
solution_idx: 3 | avg: 1188.4396264176116 | fitness: 0.0008414394621074383
solution_idx: 4 | avg: 1189.6157438292196 | fitness: 0.0008406075702908311
solution_idx: 5 | avg: 1188.9199466310874 | fitness: 0.0008410995230028655
solution_idx: 6 | avg: 1192.190793862575 | fitness: 0.0008387919158141654
solution_idx: 7 | avg: 1187.898599066044 | fitness: 0.000841822694955803
solution_idx: 1 | avg: 1188.276851234156 | fitness: 0.0008415547260399713
solution_idx: 2 | avg: 1192.785190126751 | fitness: 0.0008383739237185994
solution_idx: 3 | avg: 1187.091394262842 | fitness: 0.0008423951220882857
solution_idx: 4 | avg: 1189.022014676451 | fitness: 0.0008410273213251764
solution_idx: 5 | avg: 1189.1847898599067 | fitness: 0.0008409122018099526
solution_idx: 6 | avg: 1188.342895263509 | fitness: 0.0008415079553096963
solution_idx: 7 | avg: 1189.825883922615 | fitness: 0.000840459107094899
solution_idx: 1 | avg: 1189.2875250166778 | fitness: 0.0008408395606318806
solution_idx: 2 | avg: 1188.2434956637758 | fitness: 0.0008415783495969238
solution_idx: 3 | avg: 1189.4316210807206 | fitness: 0.0008407376954476773
solution_idx: 4 | avg: 1187.898599066044 | fitness: 0.000841822694955803
solution_idx: 5 | avg: 1187.6524349566378 | fitness: 0.000841997179112853
solution_idx: 6 | avg: 1197.0466977985323 | fitness: 0.0008353892975429301
solution_idx: 7 | avg: 1190.0740493662443 | fitness: 0.0008402838466501599
solution_idx: 1 | avg: 1189.292194796531 | fitness: 0.0008408362590583419
solution_idx: 2 | avg: 1188.1707805203469 | fitness: 0.0008416298535485451
solution_idx: 3 | avg: 1187.8198799199467 | fitness: 0.0008418784841918921
solution_idx: 4 | avg: 1190.6397598398933 | fitness: 0.0008398846013125508
solution_idx: 5 | avg: 1188.6337558372247 | fitness: 0.0008413020369723904
solution_idx: 6 | avg: 1188.5376917945298 | fitness: 0.0008413700355519532
solution_idx: 7 | avg: 1189.3462308205471 | fitness: 0.0008407980570217014
solution_idx: 1 | avg: 1193.6764509673114 | fitness: 0.0008377479502001039
solution_idx: 2 | avg: 1188.0513675783857 | fitness: 0.0008417144471104037
solution_idx: 3 | avg: 1187.091394262842 | fitness: 0.0008423951220882857
solution_idx: 4 | avg: 1188.49299533022 | fitness: 0.0008414016775270538
solution_idx: 5 | avg: 1187.6310873915943 | fitness: 0.0008420123139385899
solution_idx: 6 | avg: 1189.0206804536358 | fitness: 0.0008410282650579967
solution_idx: 7 | avg: 1186.003335557038 | fitness: 0.0008431679490431815
solution_idx: 1 | avg: 1188.7271514342895 | fitness: 0.0008412359377788453
solution_idx: 2 | avg: 1188.7271514342895 | fitness: 0.0008412359377788453
solution_idx: 3 | avg: 1187.091394262842 | fitness: 0.0008423951220882857
solution_idx: 4 | avg: 1186.003335557038 | fitness: 0.0008431679490431815
solution_idx: 5 | avg: 1187.091394262842 | fitness: 0.0008423951220882857
solution_idx: 6 | avg: 1188.2781854569714 | fitness: 0.0008415537811252791
solution_idx: 7 | avg: 1187.6310873915943 | fitness: 0.0008420123139385899
solution_idx: 1 | avg: 1186.6577718478986 | fitness: 0.0008427029458061614
solution_idx: 2 | avg: 1190.150100066711 | fitness: 0.0008402301524353502
solution_idx: 3 | avg: 1188.697798532355 | fitness: 0.0008412567106918733
solution_idx: 4 | avg: 1187.3522348232154 | fitness: 0.0008422100625842421
solution_idx: 5 | avg: 1189.3348899266177 | fitness: 0.0008408060744452727
solution_idx: 6 | avg: 1187.3068712474983 | fitness: 0.0008422422410048922
solution_idx: 7 | avg: 1188.4276184122748 | fitness: 0.0008414479641057047
solution_idx: 1 | avg: 1187.3062041360906 | fitness: 0.0008422427142353066
solution_idx: 2 | avg: 1187.7998665777184 | fitness: 0.0008418926690749628
solution_idx: 3 | avg: 1187.5530353569045 | fitness: 0.0008420676552769387
solution_idx: 4 | avg: 1187.672448298866 | fitness: 0.0008419829907078555
solution_idx: 5 | avg: 1186.7625083388925 | fitness: 0.0008426285739340524
solution_idx: 6 | avg: 1188.2595063375584 | fitness: 0.000841567010124068
solution_idx: 7 | avg: 1187.5530353569045 | fitness: 0.0008420676552769387
solution_idx: 1 | avg: 1186.34823215477 | fitness: 0.0008429228222338185
solution_idx: 2 | avg: 1186.7625083388925 | fitness: 0.0008426285739340524
solution_idx: 3 | avg: 1187.7811874583056 | fitness: 0.0008419059087304351
solution_idx: 4 | avg: 1187.432288192128 | fitness: 0.0008421532831337316
solution_idx: 5 | avg: 1187.4416277518346 | fitness: 0.0008421466593631933
solution_idx: 6 | avg: 1188.256837891928 | fitness: 0.00084156890001499
solution_idx: 7 | avg: 1188.5296864576385 | fitness: 0.0008413757025964214
solution_idx: 1 | avg: 1189.3128752501668 | fitness: 0.0008408216381157518
solution_idx: 2 | avg: 1187.1607738492328 | fitness: 0.0008423458911614933
solution_idx: 3 | avg: 1189.7058038692462 | fitness: 0.0008405439367848156
solution_idx: 4 | avg: 1186.9853235490327 | fitness: 0.0008424703997266327
solution_idx: 5 | avg: 1186.34823215477 | fitness: 0.0008429228222338185
solution_idx: 6 | avg: 1186.7625083388925 | fitness: 0.0008426285739340524
solution_idx: 7 | avg: 1188.0300200133422 | fitness: 0.0008417295717735899
solution_idx: 1 | avg: 1186.34823215477 | fitness: 0.0008429228222338185
solution_idx: 2 | avg: 1185.974649766511 | fitness: 0.0008431883431883432
solution_idx: 3 | avg: 1186.9853235490327 | fitness: 0.0008424703997266327
solution_idx: 4 | avg: 1188.8372248165444 | fitness: 0.0008411580484908816
solution_idx: 5 | avg: 1187.7678452301534 | fitness: 0.0008419153658821521
solution_idx: 6 | avg: 1187.68245496998 | fitness: 0.0008419758966846708
solution_idx: 7 | avg: 1190.108072048032 | fitness: 0.000840259824705769
solution_idx: 1 | avg: 1186.9853235490327 | fitness: 0.0008424703997266327
